Country,OBJECTID *,GHI,WindCF,VariableCostWind,FixedCostWind,VariableCostPV,FixedCostPV,VariableCostSOMG,FixedCostSOMG,VariableCostPV4h,FixedCostPV4h,VariableCostPV8h,FixedCostPV8h,OperationalLifeWind,OperationalLifePV,OperationalLifeSOMG,OperationalLifePV4h,OperationalLifePV8h,Diesel_transport
Kenya,1,0.175599835,0.165703334,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179669392
Kenya,2,0.176737788,0.177242528,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.190629264
Kenya,3,0.177630657,0.188572956,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.182909884
Kenya,4,0.178424964,0.192595624,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180544144
Kenya,5,0.178611281,0.203434928,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178742958
Kenya,6,0.178258584,0.223192364,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.176083719
Kenya,7,0.179945347,0.223304424,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178968174
Kenya,8,0.179885954,0.143775785,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179712261
Kenya,9,0.180183925,0.172137691,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.184906785
Kenya,10,0.18068471,0.201885142,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.186946718
Kenya,11,0.181932089,0.225401296,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181155839
Kenya,12,0.182304895,0.254985442,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.18075489
Kenya,13,0.181947234,0.292833509,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178042375
Kenya,14,0.183051889,0.302988697,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178963962
Kenya,15,0.184378289,0.311370945,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.184665447
Kenya,16,0.184680873,0.299579143,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179086545
Kenya,17,0.194452989,0.249830644,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181668065
Kenya,18,0.194797529,0.250083024,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.18137048
Kenya,19,0.183831218,0.145148608,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.182807556
Kenya,20,0.183531398,0.162913405,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179012986
Kenya,21,0.183438834,0.187824916,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180926625
Kenya,22,0.184123281,0.219756104,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178301419
Kenya,23,0.184794677,0.269601573,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180636379
Kenya,24,0.185404358,0.336462554,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178616986
Kenya,25,0.185705218,0.352740939,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181306958
Kenya,26,0.185823617,0.362676882,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.191258467
Kenya,27,0.186756681,0.374505902,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180810823
Kenya,28,0.187802976,0.375335633,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.187320119
Kenya,29,0.189433797,0.331431533,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.182715358
Kenya,30,0.192709253,0.254188992,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.182589216
Kenya,31,0.193405899,0.26215721,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.184334935
Kenya,32,0.193869994,0.268240039,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181564181
Kenya,33,0.193997956,0.270812852,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178265768
Kenya,34,0.193744331,0.276074357,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180607175
Kenya,35,0.186750538,0.164254932,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.184542281
Kenya,36,0.186237455,0.157998339,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.186168914
