Technology_name_OSeMOSYS,Technology,CF,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
WI,Wind,0.48,1604.712479,1604.712479,1604.712479,1604.712479,1604.712479,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773
WI,Wind,0.47,1625.73479,1625.73479,1625.73479,1625.73479,1625.73479,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873
WI,Wind,0.45,1636.698082,1636.698082,1636.698082,1636.698082,1636.698082,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242
WI,Wind,0.44,1645.259425,1645.259425,1645.259425,1645.259425,1645.259425,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862
WI,Wind,0.41,1663.418263,1663.418263,1663.418263,1663.418263,1663.418263,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079
WI,Wind,0.37,1702.934101,1702.934101,1702.934101,1702.934101,1702.934101,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948
WI,Wind,0.31,1751.460897,1751.460897,1751.460897,1751.460897,1751.460897,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941
WI,Wind,0.25,1789.74153,1789.74153,1789.74153,1789.74153,1789.74153,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566
WI,Wind,0.19,1820.901518,1820.901518,1820.901518,1820.901518,1820.901518,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531
WI,Wind,0.13,1838.079574,1838.079574,1838.079574,1838.079574,1838.079574,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255,1824.75255
SOMG,Comm PV,0.12,2675.005818,2675.005818,2675.005818,2675.005818,2675.005818,2036.014115,1877.453743,1774.012765,1660.22769,1587.819006,1538.545102,1489.271198,1439.997294,1390.72339,1341.449487,1292.175583,1242.901679,1193.627775,1144.353871,1133.571007,1122.788142,1112.005278,1101.222413,1090.439549,1079.656684,1068.87382,1058.090955,1047.308091,1036.525226
