<<<<<<< HEAD
Fuel,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_1,1,2,2,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55
EL3_2,1,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
EL3_3,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5
EL3_4,0.159466095,0.24507868,0.334806939,0.514459443,0.702408627,0.159466095,0.24507868,0.334806939,0.514459443,0.702408627,0.988987035,1.380466173,1.884064806,2.410609963,3.059024847,3.938260533,4.546645572,4.652281245,4.760072747,4.86930147,4.980686022,5.094945015,5.210641227,5.32777466,5.438248973,5.551871482,5.665493992,5.779116501,5.892739011
EL3_5,0.328829407,0.449220501,0.690265648,0.942442697,0.942442697,0.213960438,0.328829407,0.449220501,0.690265648,0.942442697,1.326953533,1.852212821,2.527906194,3.234387605,4.10438528,5.284082141,6.100370574,6.24210512,6.386732208,6.533287657,6.682735648,6.836040362,6.991273436,7.148434872,7.296661567,7.449112292,7.601563017,7.754013742,7.906464467
=======
REF,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,ElecStart
1_0,0,0,0,0,0,0.226876848,0.348680252,0.476339143,0.731935756,0.999336285,1.407059355,1.964027611,2.680511389,3.429641826,4.352159711,5.603072771,6.468639083,6.618929892,6.77228786,6.9276906,7.0861605,7.248719946,7.413324165,7.579973157,7.737148034,7.898801938,8.060455841,8.222109745,8.383763649,0
2_0,0,0,0,0,0,0.100221793,0.154027881,0.210420603,0.323329219,0.44145216,0.621561932,0.867600071,1.18410345,1.51502834,1.922546329,2.47513136,2.857491257,2.923881523,2.991626693,3.060275131,3.130278473,3.202088353,3.274801502,3.348417919,3.417849191,3.489259052,3.560668913,3.632078773,3.703488634,0
3_0,0,0,0,0,0,0.11011998,0.169240109,0.231202334,0.355262123,0.485051219,0.682949139,0.953286697,1.301048842,1.664656806,2.112422419,2.719582304,3.139705141,3.212652297,3.28708817,3.362516522,3.439433591,3.518335617,3.598230121,3.679117103,3.755405603,3.833868103,3.912330603,3.990793102,4.069255602,0
4_0,0,0,0,0,0,0.159466095,0.24507868,0.334806939,0.514459443,0.702408627,0.988987035,1.380466173,1.884064806,2.410609963,3.059024847,3.938260533,4.546645572,4.652281245,4.760072747,4.86930147,4.980686022,5.094945015,5.210641227,5.32777466,5.438248973,5.551871482,5.665493992,5.779116501,5.892739011,0
5_0,0,0,0,0,0,0.213960438,0.328829407,0.449220501,0.690265648,0.942442697,1.326953533,1.852212821,2.527906194,3.234387605,4.10438528,5.284082141,6.100370574,6.24210512,6.386732208,6.533287657,6.682735648,6.836040362,6.991273436,7.148434872,7.296661567,7.449112292,7.601563017,7.754013742,7.906464467,0
6_0,0,0,0,0,0,0.029549566,0.045413845,0.062040772,0.095330942,0.130158513,0.183262388,0.255804695,0.349123095,0.446693558,0.566846862,0.729771982,0.84250763,0.86208225,0.882056353,0.902296776,0.922936682,0.94410923,0.9655481,0.987253291,1.003498894,1.023739317,1.043979741,1.064220164,1.084460588,0
7_0,0,0,0,0,0,0.016468676,0.025310216,0.034576798,0.053130202,0.072540435,0.102136488,0.142566041,0.194574605,0.248952945,0.315917239,0.406719284,0.469549542,0.480458943,0.491590986,0.502871455,0.514374565,0.52617453,0.538122922,0.550219741,0.559273802,0.570554272,0.581834741,0.593115211,0.60439568,0
8_0,0,0,0,0,0,0.256478104,0.394173538,0.538488439,0.827433456,1.129722478,1.590642315,2.220279773,3.030245189,3.877116764,4.919998131,6.334121308,7.312620472,7.482520142,7.655887151,7.831565721,8.010711631,8.194480662,8.380561252,8.568953403,8.746635325,8.929380664,9.112126004,9.294871343,9.477616683,0
8_1,2.330518873,2.330518873,2.413976529,2.580805412,2.846279201,3.063283795,3.310912354,3.572710402,3.826075734,4.148160541,4.379598984,4.593856215,4.789703806,4.997101035,5.184109347,5.318759247,5.59872427,6.041796465,6.522043128,7.043035314,7.612229556,8.229475527,8.906197466,9.581976765,10.13313302,10.74760161,11.3620702,11.97653879,12.59100738,1
9_0,0,0,0,0,0,0.154005681,0.236686731,0.323342529,0.496843398,0.678356853,0.955122285,1.333196452,1.819550934,2.328066209,2.954278165,3.803407192,4.390959999,4.492978511,4.597079032,4.702567561,4.8101381,4.920484652,5.032219212,5.145341779,5.252033247,5.361765111,5.471496975,5.581228839,5.690960703,0
10_0,0,0,0,0,0,0.109178519,0.167793205,0.22922569,0.352224841,0.480904317,0.677110326,0.945136658,1.289925641,1.650424971,2.094362452,2.696331478,3.112862512,3.185186013,3.258985503,3.333768987,3.410028461,3.488255921,3.567467374,3.64766282,3.723299098,3.80109079,3.878882481,3.956674173,4.034465864,0
11_0,0,0,0,0,0,0.148462196,0.228167116,0.31170371,0.478959359,0.653939178,0.920742348,1.285207613,1.754055608,2.24426671,2.847937963,3.666502315,4.232905968,4.33125229,4.431605679,4.533297114,4.636995616,4.743370209,4.851082847,4.96013353,5.062984604,5.168766634,5.274548664,5.380330694,5.486112724,0
12_0,0,0,0,0,0,0.252087794,0.387426202,0.529270768,0.813269717,1.110384253,1.563414213,2.18227374,2.97837443,3.81074953,4.835779191,6.225695864,7.187445395,7.354436777,7.524836146,7.697507507,7.873586855,8.054210186,8.237105509,8.422272824,8.596913244,8.776530408,8.956147572,9.135764735,9.315381899,0
13_0,0,0,0,0,0,0.059589655,0.091581561,0.125111422,0.192244381,0.262477661,0.369566935,0.515855755,0.704041643,0.90080224,1.143103396,1.471658197,1.699000909,1.738475088,1.778754863,1.819571702,1.861194136,1.903890697,1.947124323,1.990895011,2.032177305,2.074636024,2.117094743,2.159553462,2.202012181,0
14_0,0,0,0,0,0,0.029568934,0.045443611,0.062081436,0.095393426,0.130243824,0.183382505,0.25597236,0.349351924,0.446986339,0.567218396,0.730250303,0.843059843,0.862647293,0.882634487,0.902888177,0.923541611,0.944728037,0.966180958,0.987900376,1.004156627,1.024410317,1.044664007,1.064917696,1.085171386,0
15_0,0,0,0,0,0,0.027678616,0.042538439,0.058112621,0.089295003,0.121917445,0.171659014,0.239608259,0.327018146,0.418410873,0.530956594,0.683566007,0.789163727,0.807498967,0.826208396,0.845167285,0.864500362,0.884332357,0.904413811,0.924744724,0.939961726,0.958920615,0.977879503,0.996838391,1.01579728,0
16_0,0,0,0,0,0,0.101187951,0.15551274,0.212449098,0.326446175,0.445707844,0.627553908,0.875963902,1.195518436,1.529633505,1.941080046,2.498992104,2.885038023,2.952068304,3.02046655,3.089776773,3.160454961,3.232957102,3.306371219,3.380697313,3.450797916,3.522896181,3.594994447,3.667092713,3.739190978,0
17_0,0,0,0,0,0,1.039663157,1.597827257,2.182824122,3.354095602,4.579458528,6.447849498,9.000156532,12.28344345,15.71633368,19.94377189,25.67608099,29.64253862,30.33124625,31.03400913,31.74614219,32.47233051,33.21725917,33.97155801,34.73522701,35.45548089,36.1962599,36.93703891,37.67781793,38.41859694,0
17_1,1.776631607,1.776631607,1.840202309,1.967396429,2.169831459,2.335281121,2.524087403,2.723698962,2.916863421,3.162440788,3.338870287,3.502189075,3.651459942,3.809534814,3.952050778,4.05462237,4.26802431,4.605833232,4.971987505,5.36921017,5.803188399,6.273806267,6.78977759,7.305020449,7.725246881,8.193746449,8.662246016,9.130745583,9.59924515,1
18_0,0,0,0,0,0,0.286963068,0.441024969,0.602493127,0.925782121,1.26400119,1.779705916,2.484182026,3.390419858,4.337950511,5.504788663,7.086994393,8.181797879,8.371891808,8.565865205,8.762424914,8.962864091,9.168475891,9.376674004,9.587458428,9.786259608,9.990726042,10.19519248,10.39965891,10.60412534,0
