Timeslice,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1D,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437,0.0437
1E,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711,0.01711
1N,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282,0.02282
2D,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954,0.03954
2E,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533,0.01533
2N,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209
3D,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429
3E,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663
3N,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277,0.02277
4D,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222,0.04222
4E,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591
4N,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177,0.02177
5D,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438
5E,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677,0.01677
5N,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327,0.02327
6D,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323,0.04323
6E,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646
6N,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253,0.02253
7D,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452,0.0452
7E,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728,0.01728
7N,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349,0.02349
8D,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568,0.04568
8E,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737
8N,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308,0.02308
9D,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474,0.04474
9E,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697
9N,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315,0.02315
10D,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559,0.04559
10E,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756,0.01756
10N,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419
11D,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437
11E,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675,0.01675
11N,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295
12D,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397,0.04397
12E,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705,0.01705
12N,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295,0.02295
