Timeslice,Month,Daysplit,Hour,Demand fuel,batteryCF,battery_1,battery_2,months,startyear,endyear,timesliceDN,timesliceDE,timesliceED,timesliceEN,timesliceNE,timesliceND,region
1D,1,D,06:00,EL3,0.90,8.00,00:00,01',2012,2040,'06:00','17:00','18:00','22:00','23:00','05:00',region
1E,1,E,18:00,EL4,,,,02',,,,,,,,,
1N,1,N,23:00,EL5,,,,03',,,,,,,,,
2D,2,D,06:00,,,,,04',,,,,,,,,
2E,2,E,18:00,,,,,05',,,,,,,,,
2N,2,N,23:00,,,,,06',,,,,,,,,
3D,3,D,06:00,,,,,07',,,,,,,,,
3E,3,E,18:00,,,,,08',,,,,,,,,
3N,3,N,23:00,,,,,09',,,,,,,,,
4D,4,D,06:00,,,,,10',,,,,,,,,
4E,4,E,18:00,,,,,11',,,,,,,,,
4N,4,N,23:00,,,,,12',,,,,,,,,
5D,5,D,06:00,,,,,,,,,,,,,,
5E,5,E,18:00,,,,,,,,,,,,,,
5N,5,N,23:00,,,,,,,,,,,,,,
6D,6,D,06:00,,,,,,,,,,,,,,
6E,6,E,18:00,,,,,,,,,,,,,,
6N,6,N,23:00,,,,,,,,,,,,,,
7D,7,D,06:00,,,,,,,,,,,,,,
7E,7,E,18:00,,,,,,,,,,,,,,
7N,7,N,23:00,,,,,,,,,,,,,,
8D,8,D,06:00,,,,,,,,,,,,,,
8E,8,E,18:00,,,,,,,,,,,,,,
8N,8,N,23:00,,,,,,,,,,,,,,
9D,9,D,06:00,,,,,,,,,,,,,,
9E,9,E,18:00,,,,,,,,,,,,,,
9N,9,N,23:00,,,,,,,,,,,,,,
10D,10,D,06:00,,,,,,,,,,,,,,
10E,10,E,18:00,,,,,,,,,,,,,,
10N,10,N,23:00,,,,,,,,,,,,,,
11D,11,D,06:00,,,,,,,,,,,,,,
11E,11,E,18:00,,,,,,,,,,,,,,
11N,11,N,23:00,,,,,,,,,,,,,,
12D,12,D,06:00,,,,,,,,,,,,,,
12E,12,E,18:00,,,,,,,,,,,,,,
12N,12,N,23:00,,,,,,,,,,,,,,
